,speech_text,intent,sampled,speech_text_augmented
4,make a list of numbers for me,lists_createoradd,False,make a listing of numbers for me
18,create a new list of my due bills,lists_createoradd,False,create a new list of my due measure
29,add to my groceries,lists_createoradd,False,ADD to my groceries
0,begin new list of lottery numbers,lists_createoradd,False,begin fresh list of lottery Book_of_Numbers
16,add the item to a list,lists_createoradd,False,ADD the item to a list
10,add appointment in the list,lists_createoradd,False,add assignment in the list
26,i think i ran out of this can you add it to my list,lists_createoradd,False,i think i scat out of this can you add it to my listing
19,help me start my kitchen list,lists_createoradd,False,help me beginning my kitchen list
5,show a new list,lists_createoradd,False,show a fresh list
22,please add sugar to my grocery list,lists_createoradd,False,delight add refined_sugar to my grocery list
44,rm rf calendar,calendar_remove,False,rm rf calendar
39,remove the fundraiser for dolphines in april,calendar_remove,False,remove the fundraiser for dolphines in Apr
46,remove all the events in my calendar,calendar_remove,False,remove all the event in my calendar
56,event remove,calendar_remove,False,event remove
40,please delete my lunch date from the march twenty third schedule,calendar_remove,False,please cancel my luncheon date from the march 20 third docket
57,remove dinner with mike from my calendar,calendar_remove,False,remove dinner with mike from my calendar
52,i'm not doing thing this week,calendar_remove,False,i'm not doing thing this hebdomad
45,format data from calendar,calendar_remove,False,format data from calendar
59,cancel sam's party,calendar_remove,False,cancel sam's party
41,remove all the events and schedules,calendar_remove,False,remove all the event and schedules
61,what is john's last name,email_querycontact,False,what is john's last name
82,what is email id of john,email_querycontact,False,what is email id of lavatory
86,jay's phone number,email_querycontact,False,jay's phone number
74,open the contact named john,email_querycontact,False,clear the contact named lavatory
60,give me petey's telephone number,email_querycontact,False,give me petey's phone figure
75,what's leon's email,email_querycontact,False,what's leon's email
68,contacts please,email_querycontact,False,contacts delight
87,what is john's phone number,email_querycontact,False,what is john's phone number
66,open the contact alex in phonebook,email_querycontact,False,clear the contact alex in phonebook
85,tell me about joose,email_querycontact,False,tell me about joose
99,play subway surfers with me,play_game,False,drama subway surfers with me
115,how about a game of snakes and ladders,play_game,False,how about a game of snakes and ladder
91,please open chess game i would like to play with you,play_game,False,delight open chess game i would like to drama with you
101,angry bird play,play_game,False,angry bird drama
117,we are going to play poker together,play_game,False,we are going to play stove_poker together
107,let's play space invaders,play_game,False,let's drama space invaders
116,let's play tic tac toe,play_game,False,let's drama tic tac toe
96,i would like to play tetris,play_game,False,i would like to drama tetris
118,play a game of contra as a second player,play_game,False,play a game of contra as a sec player
105,would you like to play a game with me,play_game,False,would you the_like to play a game with me
127,book me golden taxi for today at five pm,transport_taxi,False,book me gilded hack for today at five necropsy
147,book a taxi to go to the movies at one,transport_taxi,False,book a hack to go to the film at 1
149,find the nearest taxi,transport_taxi,False,breakthrough the nearest taxi
125,taxi uber,transport_taxi,False,hack uber
137,open uber app and book me a car for pick up at the airport,transport_taxi,False,clear uber app and book me a car for pick up at the airdrome
146,i need a cab in thirty minutes,transport_taxi,False,i need a cab in 30 proceedings
144,i need a ride home,transport_taxi,False,i demand a ride home
130,find a taxi for me,transport_taxi,False,breakthrough a taxi for me
131,make a taxi booking in uber,transport_taxi,False,make a hack booking in uber
123,book a rental cab of uber,transport_taxi,False,book a rental cab of uber
157,remember this music,music_likeness,False,retrieve this music
155,add this song to my favorite list,music_likeness,False,add this vocal to my favourite list
165,add this song to my playlist,music_likeness,False,add this vocal to my playlist
176,i have to done it on the post important music file,music_likeness,False,i have to done it on the station important music data_file
161,this is a good tune please notate file accordingly,music_likeness,False,this is a good tune please notate data_file accordingly
156,you like the song,music_likeness,False,you the_like the song
153,i love that song who sings it,music_likeness,False,i love that song who sing it
166,remember metallica selections for next time,music_likeness,False,remember metallica selection for next clip
151,save this song as a favorite,music_likeness,False,save this vocal as a favorite
163,i love the songs of micheal jackson can you save some songs of jackson for me,music_likeness,False,i love the vocal of micheal jackson can you salvage some songs of Glenda_Jackson for me
188,when was this song first recorded,music_query,False,when was this song number_one recorded
180,who is the artist of the song playing now,music_query,False,who is the creative_person of the song playing now
181,what are the lyrics to this song playing,music_query,False,what are the lyrics to this vocal playing
201,tell me the name of the song,music_query,False,William_Tell me the name of the song
203,can you pull up information on the singer of this song,music_query,False,can you pulling up information on the singer of this vocal
197,what is the name of that song that just went off,music_query,False,what is the name of that vocal that just went off
208,what's on the radio right now,music_query,False,what's on the radio right now
191,what kind of music do you think i like,music_query,False,what sort of music do you think i the_like
183,tell me the name of the composer,music_query,False,tell me the name of the composer
205,what's the name of this song,music_query,False,what's the name of this song
226,where can i get shawarma in this area,recommendation_locations,False,where can i get shawarma in this area
218,tea shop,recommendation_locations,False,tea store
233,where can i shop as a local tourist,recommendation_locations,False,where can i shop as a local_anesthetic tourist
