,speech_text,intent,sampled,speech_text_augmented
21,make a new list,lists_createoradd,False,make a fresh list
15,fresh list,lists_createoradd,False,fresh list
17,include meeting in the list,lists_createoradd,False,include meeting in the list
6,create a list for today's tasks,lists_createoradd,False,create a list for today's project
20,select the item,lists_createoradd,False,select the point
27,add paav bhaji in menu card,lists_createoradd,False,ADD paav bhaji in menu card
11,i want to make next week's to do list,lists_createoradd,False,i want to make next week's to do list
23,i need to make a list of bills that are due,lists_createoradd,False,i demand to make a list of bills that are due
8,include this item,lists_createoradd,False,include this point
1,new scenario time or calendar to new list,lists_createoradd,False,fresh scenario clip or calendar to fresh list
58,please clear jeff's birthday from the calendar,calendar_remove,False,delight open jeff's birthday from the calendar
54,i want you to remove this event,calendar_remove,False,i want you to remove this event
43,remove events from calendar,calendar_remove,False,remove event from calendar
48,take off the doctor's appointment on march twentieth,calendar_remove,False,issue off the doctor's appointment on Mar twentieth
31,remove meeting for wednesday morning,calendar_remove,False,remove group_meeting for Midweek morning
53,hi olly please cancel all the programs for friday,calendar_remove,False,hullo olly delight cancel all the program for friday
33,hey olly make sure my calendar is completely clear tomorrow,calendar_remove,False,hey olly make sure my calendar is entirely clear tomorrow
49,please remove dinner date scheduled for this friday at nine pm,calendar_remove,False,please remove dinner day_of_the_month schedule for this friday at 9 pm
37,remove standup on Friday at ten am,calendar_remove,False,remove standup on Friday at 10 am
30,cancel all meetings for today,calendar_remove,False,cancel all meetings for today
76,what is job title of jan medvesek,email_querycontact,False,what is job statute_title of jan medvesek
89,when was the last time that i spoke to john,email_querycontact,False,when was the last time that i wheel_spoke to lavatory
78,link me to jeff's email,email_querycontact,False,nexus me to jeff's email
84,give me the details of friend,email_querycontact,False,spring me the details of friend
67,what is jimmy johns's corporate number,email_querycontact,False,what is jemmy johns's bodied number
80,what is joe joe's home address,email_querycontact,False,what is joe joe's place address
64,what is this person's contact information,email_querycontact,False,what is this person's contact information
83,fetch me the phone number of Alexander,email_querycontact,False,fetch me the phone figure of Alexander
88,please find a contact number of jayesh and tell me,email_querycontact,False,delight breakthrough a contact number of jayesh and tell me
72,does bob live in france,email_querycontact,False,does shilling live in france
90,please play football with me,play_game,False,delight play football with me
114,i want to play rock paper scissors let's play,play_game,False,i want to drama stone paper scissors let's drama
95,play this game with me,play_game,False,play this game with me
111,let us play millionaires,play_game,False,let us drama millionaires
110,can you play a game with me,play_game,False,can you drama a game with me
94,i want to play poker with you,play_game,False,i want to drama poker with you
93,start words with friends,play_game,False,start lyric with friends
112,get the duet game,play_game,False,get the duet game
113,shall we play a game,play_game,False,shall we play a game
98,play super mario brothers game with me,play_game,False,play super mario blood_brother game with me
148,book an uber from my location to the theatre,transport_taxi,False,book an uber from my location to the theatre
138,book me a cab,transport_taxi,False,book me a cab
142,can you book an uber tomorrow,transport_taxi,False,can you book an uber tomorrow
145,i need a taxi at eight tomorrow morning to take me to work,transport_taxi,False,i need a hack at eight tomorrow morn to take me to work
135,hail taxi,transport_taxi,False,hail taxi
136,can you book me a taxi,transport_taxi,False,can you book me a taxi
122,get me a ride to hospital,transport_taxi,False,get me a ride to hospital
120,flag me an uber for ten pm tonight,transport_taxi,False,masthead me an uber for 10 pm tonight
124,just book for me a lyft taxi to bardonia,transport_taxi,False,just book for me a lyft taxi to bardonia
141,help me find transportation to the mall of america,transport_taxi,False,help me find transportation to the mall of United_States_of_America
178,save this music to my favorites,music_likeness,False,salvage this music to my favorites
168,save this song,music_likeness,False,salvage this song
175,save my opinion on adele's song,music_likeness,False,salvage my opinion on adele's song
169,add my opinion to this song great,music_likeness,False,add my sentiment to this vocal great
172,save chhana mereya song in my playlist,music_likeness,False,salvage chhana mereya song in my play_list
160,you have to check out kfi he's the best,music_likeness,False,you have to bank_check out kfi he's the best
173,please note on song title good tune,music_likeness,False,please note on vocal title good melody
170,Olly save all the songs i have listened to more than once,music_likeness,False,Olly save all the vocal i have listened to more than once
158,the music of this song is very melodious and relaxing,music_likeness,False,the music of this song is very melodious and relaxing
177,i like justin beibers music please play it,music_likeness,False,i the_like justin beibers music delight play it
194,when was the song playing now released,music_query,False,when was the song playing now let_go
198,is this song ed sheeran,music_query,False,is this song male_erecticle_dysfunction sheeran
193,how do you feel after hearing justin bieber's new album,music_query,False,how do you feel after hearing justin bieber's fresh album
209,what song is this,music_query,False,what song is this
206,what is the current song called,music_query,False,what is the current song call
187,what would you call this kind of music that we're listening to,music_query,False,what would you call this kind of music that we're listening to
204,who wrote this song,music_query,False,who compose this song
199,what is the song name,music_query,False,what is the song name
185,what's my favorite music at the moment,music_query,False,what's my favorite music at the moment
202,what album is this song on,music_query,False,what record_album is this song on
230,i need to find a gift what stores are within a one mile radius,recommendation_locations,False,i need to breakthrough a gift what store are within a 1 statute_mile radius
220,i need a place that will deliver pizza to me in benton ar,recommendation_locations,False,i demand a place that will deliver pizza_pie to me in benton Ar
219,what's the best chicken place near me,recommendation_locations,False,what's the best poulet place near me
214,name stores within ten mile radius with music,recommendation_locations,False,name stores within 10 mile r with music
225,where can i get organic wheat,recommendation_locations,False,where can i get organic_fertilizer wheat
223,please recommend a restaurant in seattle,recommendation_locations,False,please urge a eating_house in seattle
236,where is the nearest restaurant here,recommendation_locations,False,where is the nearest eating_house here
231,find a shop that sells beer,recommendation_locations,False,breakthrough a store that sells beer
221,whats the best place to eat near here,recommendation_locations,False,whats the best place to eat near here
210,what restaurants around here have good reviews,recommendation_locations,False,what restaurants around here have good revaluation
267,will you tell me what you have said one more time please.,general_repeat,False,will you William_Tell me what you have say one more time please.
253,will you reset.,general_repeat,False,will you reset.
254,please would you replay your last phrase said.,general_repeat,False,delight would you replay your finale phrase said.
264,could you speak that once more.,general_repeat,False,could you speak that once more.
262,will you speak it once again.,general_repeat,False,will you speak it once again.
256,please repeat that.,general_repeat,False,please repetition that.
249,can you repeat please.,general_repeat,False,can you repeat please.
268,i would like to hear your last the procedure said again.,general_repeat,False,i would the_like to learn your finale the procedure said again.
263,i'd like to hear that sentence spoke again.,general_repeat,False,i'd like to hear that sentence wheel_spoke again.
241,what is that one more time.,general_repeat,False,what is that one more time.
286,when my takeaway order will arrive,takeaway_query,False,when my takeout_food order will arrive
290,does fongs do carry out,takeaway_query,False,does fongs do transport out
273,what time can i pick up my food,takeaway_query,False,what clip can i pick up my food
289,do they deliver,takeaway_query,False,do they deliver
271,is there a takeaway in chipotle restaurant,takeaway_query,False,is there a takeaway in chipotle eating_house
282,any restaurant in the beautiful,takeaway_query,False,any restaurant in the beautiful
291,is there takeaway at donut junction,takeaway_query,False,is there takeaway at donut junction
296,does the restaurant have carryout,takeaway_query,False,does the restaurant have carryout
270,does charley's steakhouse deliver,takeaway_query,False,does charley's chophouse deliver
284,is michael's a takeaway or delivery restaurant,takeaway_query,False,is michael's a takeout_food or delivery eating_house
327,how warm is it in columbus ohio,weather_query,False,how warm_up is it in columbus ohio
316,is it currently raining,weather_query,False,is it currently rain_down
314,what is the weather this friday,weather_query,False,what is the weather_condition this friday
306,is the sun gonna shine in devon this weekend,weather_query,False,is the sun gonna shine in Devonshire this weekend
321,weather this week,weather_query,False,weather this hebdomad
313,will it be nice at the beach on friday,weather_query,False,will it be nice at the beach on friday
307,will it snow next week,weather_query,False,will it snowfall next week
328,can i go outing without any raincoat,weather_query,False,can i go jaunt without any waterproof
317,has the weather changed for wednesday at all,weather_query,False,has the weather alter for wednesday at all
320,is it colder than yesterday,weather_query,False,is it colder than yesterday
357,what is the size of the united states,qa_factoid,False,what is the size of the united province
330,what is the financial capital of canada,qa_factoid,False,what is the financial capital of canada
340,where is the hottest desert located,qa_factoid,False,where is the hot desert located
331,where is morocco located,qa_factoid,False,where is morocco turn_up
359,who is the better half of obama,qa_factoid,False,who is the bettor half of obama
332,what tv show is jennifer aniston on,qa_factoid,False,what tv display is jennifer aniston on
354,how many mega pixel is listed in the description of the canon,qa_factoid,False,how many mega pel is listed in the verbal_description of the canon
355,how many cups in a quart,qa_factoid,False,how many cup in a quart
344,is brad pitt married,qa_factoid,False,is brad pitt marry
334,how big is russia,qa_factoid,False,how big is Russia
361,this is unimportant to me.,general_dontcare,False,this is unimportant to me.
375,i wouldn't really care.,general_dontcare,False,i wouldn't genuinely care.
371,do not mind to choose any one.,general_dontcare,False,do not mind to take any one.
370,"it is unimportant for me, olly.",general_dontcare,False,"it is unimportant for me, olly."
388,anything is ok for me.,general_dontcare,False,anything is Sooner_State for me.
363,whatever.,general_dontcare,False,whatever.
373,"it is of no importance to me, olly.",general_dontcare,False,"it is of no importance to me, olly."
378,whatever will be fine.,general_dontcare,False,whatever will be fine.
382,"have no idea, olly.",general_dontcare,False,"have no idea, olly."
376,that is unimportant.,general_dontcare,False,that is unimportant.
395,please play podcasts on science,play_podcasts,False,delight drama podcasts on science
392,play next on podcast,play_podcasts,False,play next on podcast
415,play most recent podcast upload,play_podcasts,False,drama most recent podcast upload
391,podcast next episode,play_podcasts,False,podcast next episode
409,play the next show on podcast,play_podcasts,False,play the next display on podcast
413,next episode in podcast,play_podcasts,False,next episode in podcast
400,move forward ten minutes in this podcast,play_podcasts,False,move forward 10 minutes in this podcast
403,i want to see the previous episode,play_podcasts,False,i want to see the previous episode
405,play the most recent podcast for this american life,play_podcasts,False,drama the most Holocene_epoch podcast for this American_English life
399,start my favourite podcast,play_podcasts,False,start my favorite podcast
436,what are all the lists i have available,lists_query,False,what are all the listing i have available
438,what do i need to get done today,lists_query,False,what do i demand to get done today
423,give me the shopping list,lists_query,False,spring me the shopping list
443,display available lists,lists_query,False,display available listing
445,what's on my list,lists_query,False,what's on my list
442,please tell me what lists i have,lists_query,False,please William_Tell me what lists i have
439,can you tell me what the items on my grocery list are,lists_query,False,can you tell me what the point on my grocery list are
428,tell me the name of my lists,lists_query,False,tell me the name of my listing
433,what are the list of things i need to buy today,lists_query,False,what are the listing of things i demand to buy today
424,read out my shopping list for today,lists_query,False,read out my shopping list for today
479,find recent events of the celebrity,general_quirky,False,breakthrough recent event of the celebrity
476,hey whatsapp,general_quirky,False,hey whatsapp
478,bingo,general_quirky,False,bingo
463,the meaning of life,general_quirky,False,the meaning of life
467,show me a map of everywhere the cat has been this week,general_quirky,False,display me a function of everywhere the true_cat has been this week
451,i would like it to be able to compute answer from search results like wolfram alpha does,general_quirky,False,i would the_like it to be able to compute reply from search results like wolfram alpha does
